"Metabolite","Penalized_coeff","Beta","SE","P","P_fdr"
"LPC 17:0/0:0",-0.000605562280383299,-0.0018442910977197,0.00971729501043858,0.849478456280083,0.916370686807498
"TG 54:3",-0.000650886708653281,-0.0316370700030647,0.00935256250947023,0.00072376189395772,0.0282267138643511
"C8_QI12040",-0.000779390308864452,0.00556804232912816,0.00968381358900835,0.565329907842375,0.787423800209022
"C8_QI11962",-0.00041021918849865,0.00185778086340009,0.00981477898626246,0.849878681433169,0.916370686807498
"C8_QI11946",-0.000608931640324762,-0.000509701103590215,0.00880575916613452,0.95384462749596,0.987614548797101
"C8_QI295",-0.000665606668256966,-0.0151284335001061,0.00888123501700359,0.0885584489243278,0.383753278672087
"C8_QI11950",-0.000589002249342568,0.00358173736684481,0.00899097534543003,0.690376088409444,0.872604951751608
"C8_QI303",-3.72761675115134e-05,-0.0149832869114132,0.00957628758435238,0.11774013785219,0.450874738582842
"C8_QI300",-0.000947522459172763,-0.00865974382595885,0.0088706130912204,0.329003401741613,0.658006803483226
"C8_QI11918",-0.000870251662271199,0.00323402456728583,0.00935573882621131,0.729604533834227,0.875525440601072
"C8_QI320",-0.00132819370156997,0.00112789263818025,0.00937186357117427,0.90421214696063,0.953088479228772
"C8_QI357",-0.000940906789180762,0.0041950740635916,0.00914300578407257,0.646379089034628,0.854535066859338
"C8_QI11802",-0.000663311659967352,0.00806607938370884,0.00964503581066243,0.403033647189208,0.683404880016483
"C8_QI11801",-0.00050236922640293,0.00808046753152062,0.00964706947078839,0.402294516014188,0.683404880016483
"C8_QI502",-0.00114131377174362,-0.022212275651452,0.00962856708443386,0.0211042958383694,0.20603942244314
"C8_QI11640",-0.00193874560540157,-0.0114335254706133,0.00878489988871469,0.193154110759072,0.534699715636353
"C8_QI620",-0.00143993339828459,0.00170690124248877,0.00951432545122869,0.857628976114709,0.916370686807498
"C8_QI605",-0.00152324570335081,-0.00346268075711747,0.00889681740477618,0.697143149595068,0.872604951751608
"C8_QI11635",-0.00136539382933866,-0.010783144642787,0.00931165510482593,0.246913599163266,0.606848422852941
