"Metabolite","Penalized_coeff","Beta","SE","P","P_fdr"
"HILIC_QI14939",0.00672475745334541,0.146143381696171,0.014949623301811,1.95744268078271e-22,1.59836307232138e-20
"HILIC_QI19128",0.00138185019605945,0.115539041584375,0.0118191213344312,2.08936349323056e-22,1.59836307232138e-20
"PE P-38:4 or PE O-38:5",0.000427278988473359,0.126652294189355,0.0144507352101207,2.31024135478805e-18,1.1782230909419e-16
"PC P-35:1 or PC O-35:2",0.0003667091253566,0.111781190398023,0.0142026945108992,4.06941197853079e-15,1.55655008178803e-13
"PE P-35:2 or PE O-35:3",0.00431300035737244,0.105346847683937,0.0148661352027667,1.50574140723719e-12,4.60756870614580e-11
"C8_QI8717",-0.0116018447874243,-0.102952814765024,0.0149320047709131,5.83506162545175e-12,1.4879407144902e-10
"HILIC_QI19305",-4.34423358717053e-05,0.0721978952079391,0.0116862347894795,6.94856002238497e-10,1.518756690607e-08
"HILIC_QI18984",0.0172407189836653,0.0683617665794567,0.0112467731463717,1.29033110733241e-09,2.46775824277324e-08
"C18_QI13135",-0.00425144416101259,-0.0766980543657714,0.0140611687331019,5.07952562058512e-08,8.6351935549947e-07
"PC P-44:6 or PC O-44:7",-0.0110932340059522,-0.0724735591234007,0.0136262513372091,1.07807045258561e-07,1.64944779245598e-06
"HILIC_QI03469",0.0103279435468095,0.0687563947928209,0.0131313871310764,1.69060281634425e-07,2.35147482636973e-06
"C18_QI15160",0.00468628204153583,0.0580081782890149,0.0119353943670001,1.20284491691846e-06,1.53362726907104e-05
"C8_QI3437",2.94586907020041e-05,-0.0676210808663054,0.0140714564886282,1.5742566041507e-06,1.85277892642352e-05
"PC P-46:6 or PC O-46:7",-0.00874272075232787,-0.0623168755205259,0.0131731502684486,2.28407961351804e-06,2.3297612057884e-05
"HILIC_QI16652",-0.00521946965561681,-0.064802754619825,0.0136800898574653,2.21013211578442e-06,2.3297612057884e-05
"C18_QI13144",-0.0146323023301824,-0.060409231344327,0.0131230306234034,4.23504113140947e-06,4.04975808191031e-05
