"","Estimate","StdErr","z.value","p.value"
"(Intercept)",8.76907449605018e-08,NA,NA,NA
"age",0,NA,NA,NA
"egfr",0,NA,NA,NA
"income",0,NA,NA,NA
"PA",0,NA,NA,NA
"education",0,NA,NA,NA
"energy",0.256604091882843,NA,NA,NA
"Amide_X1.5.AG...1.deoxyglucose",0,NA,NA,NA
"Amide_X2.Hydroxybutyric.acid",0,NA,NA,NA
"Amide_X2.Hydroxyglutaric.acid",0,NA,NA,NA
"Amide_X2.ketoisovaleric.acid.KIV",0,NA,NA,NA
"Amide_X3.Hydroxybutyric.acid",0,NA,NA,NA
"Amide_Acetoacetic.acid",0,NA,NA,NA
"Amide_Aconitic.acid",0,NA,NA,NA
"Amide_ADP",0,NA,NA,NA
"Amide_a.Ketoglutaric.acid",0,NA,NA,NA
"Amide_Allantoin",0,NA,NA,NA
"Amide_Aspartic.acid",0,NA,NA,NA
"Amide_ATP",0,NA,NA,NA
"Amide_Butyric.acid",0,NA,NA,NA
"Amide_Citric.acid.Isocitric.acid",0,NA,NA,NA
"Amide_cyclic.AMP",0,NA,NA,NA
"Amide_D.Gluconic.acid",0,NA,NA,NA
"Amide_DHA",0,NA,NA,NA
"Amide_Fumaric.acid",0,NA,NA,NA
"Amide_Glyceric.acid",0,NA,NA,NA
"Amide_Glycerol.3.phosphate",0,NA,NA,NA
"Amide_Hippuric.acid",0,NA,NA,NA
"Amide_Hypoxanthine",0,NA,NA,NA
"Amide_Indole.3.carboxylic.acid",0,NA,NA,NA
"Amide_Indole.3.lactic.acid",0,NA,NA,NA
"Amide_Indole.3.propanoic.acid",0,NA,NA,NA
"Amide_Indoxyl.sulfate",0,NA,NA,NA
"Amide_Inosine",0,NA,NA,NA
"Amide_Keto.isocaproic.acid.KIC...Keto.methylvalerate.KMV",0,NA,NA,NA
"Amide_Kynurenic.acid",0,NA,NA,NA
"Amide_Kynurenine",0,NA,NA,NA
"Amide_Lactic.acid",0,NA,NA,NA
"Amide_Malic.acid",0,NA,NA,NA
"Amide_Malonic.acid",0,NA,NA,NA
"Amide_N.Acetyl.L.Alanine",0,NA,NA,NA
"Amide_N.Acetyl.L.Glutamine",0,NA,NA,NA
"Amide_Oleoyl.Glycine",0,NA,NA,NA
"Amide_Oleoyl.Leucine",0,NA,NA,NA
"Amide_Oleoyl.Phenylalanine",0,NA,NA,NA
