"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"1","Amide_DHA",7628,0.0233060708291334,0.00785920290960389,0.00303799435451884,"lmer",0.120654289669331
"2","C8_LPC.22.6.0.0",7627,0.00935148432897728,0.00866312487740308,0.280440841691026,"lmer",0.597235125823481
"3","C8_PC.34.5",7625,0.00434952820953145,0.0096890111843171,0.653515427659475,"lmer",0.844430046975726
"4","C8_PC.38.6",7627,0.0132633673951026,0.00851441461523058,0.119361157295616,"lmer",0.403721561441054
"5","C8_PC.38.1",7626,-0.00351271853120097,0.0102559796236762,0.731987168239044,"lmer",0.881450516727645
"6","C8_PC.39.6",7626,0.00549840036840789,0.00859023240935399,0.52215561943716,"lmer",0.760099952345233
"7","C8_PC.40.9",7627,0.00917182246509378,0.00834561089797192,0.271826563911429,"lmer",0.597235125823481
"8","C8_PC.40.6",7627,0.00895930445540806,0.0085486973541476,0.294679682590682,"lmer",0.616148427235062
"9","C8_PC.42.5",7626,0.00492898871706337,0.00938661860638974,0.599533619693317,"lmer",0.815221645325808
"10","C8_PC.O.38.6",7626,0.00620943255946738,0.00864242318582065,0.472496626229917,"lmer",0.734285297519466
"11","C8_PC.P.40.6.or.PC.O.40.7_B",7626,0.00851075485875326,0.00838690614929509,0.310270889179125,"lmer",0.620541778358251
"12","C8_PC.P.44.6.or.PC.O.44.7",7626,0.00222028834434564,0.0082116150083189,0.786877290098651,"lmer",0.918689221942587
"13","C8_PC.P.46.6.or.PC.O.46.7",7626,-0.000136808875030736,0.00780422214078481,0.986014486830236,"lmer",0.990320226947398
"14","C8_PS.34.0",7626,0.0135054591214836,0.00930419683814712,0.146697013589778,"lmer",0.462196070214368
"15","C8_SM.44.3.O2",7626,0.000816873419364568,0.00857350592599211,0.92409756636554,"lmer",0.961730498932462
"16","C8_SM.44.2.O2",7626,-0.00098776563643269,0.00872289351003397,0.909846624463826,"lmer",0.960538424478515
"17","C8_CE.22.6",7626,0.00327587040849915,0.00820985326850197,0.689899642801955,"lmer",0.866677702038467
"18","C8_TG.52.8",7609,0.00487646307617617,0.00941233383046657,0.604418795487714,"lmer",0.815221645325808
"19","C8_TG.52.7",7626,-0.00350254508713521,0.00950556595972139,0.712537665150446,"lmer",0.871721611620227
"20","C8_TG.54.9",7601,0.00133016831832207,0.00918208349573515,0.884823396779362,"lmer",0.951346777107266
"21","C8_TG.54.8",7626,-0.00594851378944018,0.00913749281527589,0.515078903814092,"lmer",0.760099952345233
"22","C8_TG.55.6",7627,-0.0045426524982875,0.0093184600494858,0.625934853881245,"lmer",0.827385151682105
"23","C8_TG.56.10",7624,0.0036212491781419,0.00889926625469457,0.684089219154449,"lmer",0.866677702038467
"24","C8_TG.56.9",7626,-0.000868481842675107,0.00851607564027551,0.918775884283797,"lmer",0.960538424478515
