"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"1","Amide_DHA",7635,-0.0355705773932611,0.0129500185485053,0.00603401459401092,"lmer",0.0190112788578426
"2","C8_LPC.22.6.0.0",7634,-0.0587452136077326,0.0140074449108281,2.77546636757546e-05,"lmer",0.000265982193559315
"3","C8_PC.34.5",7632,-0.0463038381188809,0.0149284475575342,0.00193109933057738,"lmer",0.00752801433953893
"4","C8_PC.38.6",7634,-0.0555724261843241,0.0137349123880456,5.26275173947267e-05,"lmer",0.000448308481510635
"5","C8_PC.38.1",7633,-0.069400729084254,0.0153799340264166,6.50544578766688e-06,"lmer",8.31251406201879e-05
"6","C8_PC.39.6",7633,-0.0448833332346689,0.0139571926749341,0.00130667607084174,"lmer",0.0057542377020637
"7","C8_PC.40.9",7634,-0.0605720854974059,0.0135644182264546,8.11094391482625e-06,"lmer",9.32758550205018e-05
"8","C8_PC.40.6",7634,-0.0525208198447816,0.0137570480002968,0.000135804443374032,"lmer",0.000946515817455373
"9","C8_PC.42.5",7633,-0.0385040731466839,0.0148559838871638,0.00956561505812386,"lmer",0.028572616407383
"10","C8_PC.O.38.6",7633,0.0123285752141515,0.0142599855852343,0.387310828115967,"lmer",0.539887821010136
"11","C8_PC.P.40.6.or.PC.O.40.7_B",7633,0.00479562127504504,0.0138976027102195,0.730053271166642,"lmer",0.803056636505164
"12","C8_PC.P.44.6.or.PC.O.44.7",7633,-0.0724735591234007,0.0136262513372091,1.07807045258561e-07,"lmer",2.4795620409469e-06
"13","C8_PC.P.46.6.or.PC.O.46.7",7633,-0.0623168755205259,0.0131731502684486,2.28407961351804e-06,"lmer",3.50225540739433e-05
"14","C8_PS.34.0",7633,-0.0468892236330173,0.0146003624414051,0.00132597651395381,"lmer",0.0057542377020637
"15","C8_SM.44.3.O2",7633,-0.048874138274798,0.0139806961027064,0.000475478497011927,"lmer",0.00260381081697007
"16","C8_SM.44.2.O2",7633,-0.0442421347142781,0.0141316048163275,0.00175078546686798,"lmer",0.00706457293648483
"17","C8_CE.22.6",7633,-0.0538232614519582,0.013344960292081,5.558862040177e-05,"lmer",0.000456620810443111
"18","C8_TG.52.8",7616,-0.0247758758648375,0.0149519478593249,0.0975551846073947,"lmer",0.18543547487356
"19","C8_TG.52.7",7633,-0.0293189463064931,0.0151250870016464,0.0526086720472794,"lmer",0.116346101643022
"20","C8_TG.54.9",7608,-0.0369552244998114,0.0147126440336768,0.0120329595735784,"lmer",0.0341676629867041
"21","C8_TG.54.8",7633,-0.0449185969416322,0.0146212605896254,0.0021330217542406,"lmer",0.00817658339125565
"22","C8_TG.55.6",7634,0.00600553750711988,0.015057175374463,0.690016252624077,"lmer",0.774164576114818
"23","C8_TG.56.10",7631,-0.0400945868790095,0.0143550461786443,0.00523460062803527,"lmer",0.0169571569640579
"24","C8_TG.56.9",7633,-0.0389144858077782,0.0138722773946275,0.00504198377335079,"lmer",0.0165665181124383
"25","C8_TG.56.8",7633,-0.0260394135748918,0.0136585119045329,0.0566297490073112,"lmer",0.120848042132871
"26","C8_TG.56.7",7634,-0.0226579523158767,0.0139753264896123,0.105001779997078,"lmer",0.194761366123613
"27","C8_TG.58.11",7633,-0.0321659148201327,0.0138795250928158,0.0205034097918952,"lmer",0.0535884574106352
"28","C8_TG.58.10",7632,-0.0228734812066795,0.0134924524411726,0.0900651701028405,"lmer",0.17407553885423
"29","C8_TG.58.9",7634,-0.03855758642299,0.0137222367051653,0.00496934075726649,"lmer",0.0165644691908883
"30","C8_TG.58.7_A",7632,-0.0311616604209602,0.014919320025004,0.0367714095710413,"lmer",0.0887896986950544
"31","C8_TG.60.12",7621,-0.0273195340982575,0.0135249029222798,0.0434257716960006,"lmer",0.100888156465456
"32","C8_QI7297",7633,-0.0142874153400862,0.0150479168405168,0.342416863409876,"lmer",0.489166947728394
"33","C8_QI5120",7634,-0.0140472306503134,0.0137463427219851,0.306868261502666,"lmer",0.446706962946918
"34","C8_QI11020",7634,-0.0362090718447497,0.0135149879605848,0.00739711748969107,"lmer",0.0226844936350526
"35","C8_QI1850",7634,-0.00864108998973806,0.015539596202734,0.578180270230938,"lmer",0.703996411243707
"36","C8_QI9896",7633,-0.0337361312174588,0.0136341554456943,0.0133689454855188,"lmer",0.0374982617276746
"37","C8_QI2435",7633,-0.00466463213618956,0.0143927870879228,0.745875022582182,"lmer",0.809204033933499
"38","C8_QI3132",7615,-0.0146229719983655,0.0132465290528341,0.269670198748107,"lmer",0.410755931867977
"39","C8_QI8941",7631,-0.0301244759739246,0.0151696696202425,0.0470878008477189,"lmer",0.107229645494805
"40","C8_QI3326",7613,-0.0323099955662316,0.0149842328690717,0.0310947732600178,"lmer",0.0760829558489798
"41","C8_QI3325",7634,-0.0431241416883756,0.0147824961379081,0.00354193418333408,"lmer",0.0119800715024535
"42","C8_QI3338",7633,-0.0515771794715008,0.0140795052996085,0.000250785740611245,"lmer",0.00146159680197808
