"Metabolite","Estimate"
"C8_LPC.17.0.0.0",-0.000605562280383299
"C8_TG.54.3",-0.000650886708653281
"C8_QI12040",-0.000779390308864452
"C8_QI11962",-0.00041021918849865
"C8_QI11946",-0.000608931640324762
"C8_QI295",-0.000665606668256966
"C8_QI11950",-0.000589002249342568
"C8_QI303",-3.72761675115134e-05
"C8_QI300",-0.000947522459172763
"C8_QI11918",-0.000870251662271199
"C8_QI320",-0.00132819370156997
"C8_QI357",-0.000940906789180762
"C8_QI11802",-0.000663311659967352
"C8_QI11801",-0.00050236922640293
"C8_QI502",-0.00114131377174362
"C8_QI11640",-0.00193874560540157
"C8_QI620",-0.00143993339828459
"C8_QI605",-0.00152324570335081
"C8_QI11635",-0.00136539382933866
"C8_QI607",-0.00110784060032561
"C8_QI608",-0.00137879948462211
"C8_QI611",-0.000240197803887194
"C8_QI659",-0.00021390552679245
"C8_QI699",-0.00155959117855764
"C8_QI791",-0.00132496836171482
"C8_QI11467",-0.00142662861203809
"C8_QI11450",-0.00178246127378502
"C8_QI11446",-0.00158262300299508
"C8_QI879",-0.00130077908923136
"C8_QI887",-0.000588618236302407
"C8_QI11354",-0.000406946983408618
"C8_QI11299",-1.40690993681161e-05
"C8_QI11274",-0.00196400794187277
"C8_QI11207",0.0489674921427115
"C8_QI11062",-0.000237146647564639
"C8_QI1170",-0.000217322616127145
"C8_QI1202",-0.00152368510723799
"C8_QI1244",-0.00166824409804561
"C8_QI10998",-0.00178391089816536
"C8_QI1352",-0.000419998436753432
"C8_QI10837",-0.0018165282064211
"C8_QI1410",-0.00222048196775695
"C8_QI1471",-0.000305071273506019
"C8_QI10726",-0.00109746029595332
"C8_QI1514",-0.00057854476100036
"C8_QI10722",-0.000951515078655999
"C8_QI1560",-0.000648080087859425
"C8_QI10686",-0.00052454521555303
"C8_QI10680",-0.00119760874316817
"C8_QI1567",-0.000349069747716323
"C8_QI10448",-0.000448734746529557
"C8_QI10423",-0.000202172994758331
"C8_QI1817",-0.000122129055205456
"C8_QI10392",-0.00172462756957152
"C8_QI1850",0.0589640144718688
"C8_QI1950",-0.00127865370291142
"C8_QI10256",-0.00134446124614129
"C8_QI1958",-0.000119734254267276
"C8_QI1990",-0.000811031644557836
"C8_QI10254",-0.00134487544096872
"C8_QI2028",-0.000322325667600949
"C8_QI2157",-0.00102855183413576
"C8_QI2158",-0.000485699808307828
"C8_QI10083",-0.000686036529721795
"C8_QI9990",-0.00120678164353211
"C8_QI9619",-0.000251900938898221
"C8_QI2685",-0.00130593375159291
"C8_QI9453",-0.00114915610326715
"C8_QI2905",-0.00111245010087415
"C8_QI9336",-0.00135399791436771
"C8_QI8758",-6.92256698084592e-05
"C8_QI3552",-0.000913481345695194
"C8_QI8611",-0.000839895467297584
"C8_QI8521",-8.72227053108201e-05
"C8_QI7126",-0.000152473307662182
"C8_QI5232",-0.000422450470044811
"C8_QI5367",-0.00132640124660561
"HILIC_QI14974",-5.52438669707016e-05
