"Metabolite","Estimate"
"Amide_DHA",-0.00622933101561425
"C8_LPC.22.6.0.0",0.000544462973487677
"C8_PC.34.5",-8.70848298709641e-06
"C8_PC.38.6",-0.00611002200398689
"C8_PC.38.1",-2.38928457952232e-06
"C8_PC.39.6",0.000589630513177651
"C8_PC.40.9",-0.00479804381513205
"C8_PC.40.6",-0.00216686090478253
"C8_PC.42.5",3.83351903422407e-05
"C8_PC.O.38.6",4.7675157030624e-05
"C8_PC.P.40.6.or.PC.O.40.7_B",-2.93268077726514e-05
"C8_PC.P.44.6.or.PC.O.44.7",-0.0110932340059522
"C8_PC.P.46.6.or.PC.O.46.7",-0.00874272075232787
"C8_PS.34.0",0.000264980840733978
"C8_SM.44.3.O2",9.70716762181803e-05
"C8_SM.44.2.O2",0.000126301754602033
"C8_CE.22.6",-0.00120768267026727
"C8_TG.52.8",-3.89629884224075e-07
"C8_TG.52.7",-1.56111379890443e-05
"C8_TG.54.9",9.59410293684265e-05
"C8_TG.54.8",1.216304267587e-05
"C8_TG.55.6",0.000195119459371489
"C8_TG.56.10",1.33586132780603e-05
"C8_TG.56.9",0.000381729544978659
"C8_TG.56.8",0.000495586995183247
"C8_TG.56.7",0.00045852258489285
"C8_TG.58.11",0.000125074511163292
"C8_TG.58.10",0.000280459566842955
"C8_TG.58.9",0.000306976485334988
"C8_TG.58.7_A",1.70067966330341e-06
"C8_TG.60.12",0.000202249807544769
"C8_QI7297",8.26629855310934e-05
"C8_QI5120",0.000439104001450266
"C8_QI11020",7.43434229580458e-05
"C8_QI1850",0.000619384972353525
"C8_QI9896",-0.00156663918310955
"C8_QI2435",0.000314868922495206
"C8_QI3132",0.000574317037564649
"C8_QI8941",3.85130792907439e-05
"C8_QI3326",0.000129032190296338
"C8_QI3325",0.000228150209437314
"C8_QI3338",0.000153620328373954
"C8_QI3437",2.94586907020041e-05
"C8_QI8783",-1.05843744290201e-05
"C8_QI8717",-0.0116018447874243
"C8_QI8654",-8.49640785164638e-06
"C8_QI3670",3.80696967871904e-05
"C8_QI3679",0.000217863322380067
"C8_QI3698",0.000120288498711513
"C8_QI8300",3.50416781165866e-05
"C8_QI8223",4.32670296670052e-05
"C8_QI8146",-0.00698477024557977
"C8_QI8066",0.000132814058611185
"C8_QI7914",-4.06322368564035e-05
"C8_QI7760",0.00011676148729643
"C8_QI4968",1.00119394952357e-05
"C8_QI4993",0.000300763010626232
"C8_QI7229",0.000302000529634492
"C8_QI7070",0.000276662740999578
"C18_Eicosapentaenoic.acid",0.000139877798545854
"C18_Docosahexaenoic.acid",-0.00653013106485974
"C18_Docosapentaenoic.acid..22n.6.",0.000297927234175959
"C18_X11.methyl.lauric.acid",0.000279177782513017
"C18_QI46395",0.0001100921526116
"C18_QI46396",0.000240004309102606
"C18_QI46781",0.0001429253505709
"C18_QI46812",0.000151291216644831
"C18_QI47166",6.40913820470698e-05
"C18_QI49700",0.000383627715995172
"C18_QI49706",0.000402090003123109
"C18_QI49710",0.000508588245397844
"C18_QI49714",0.000442729367782715
"C18_QI49716",0.000522586676900435
"C18_QI49720",0.000514097386275223
"C18_QI49721",0.000467698860166207
"C18_QI49733",0.000377508361356839
"C18_QI10880",6.18708848272581e-05
"C18_QI11017",0.000345305154167456
"C18_QI11070",0.000365915018228775
"C18_QI11584",-1.88626191056764e-05
"C18_QI11587",-1.02412865125062e-05
"C18_QI11740",0.000312570697896145
"C18_QI11743",0.000362170359586926
"C18_QI11750",0.000355770062228513
"C18_QI11755",0.000355757279365761
"C18_QI12574",-1.63007967513102e-05
"C18_QI13002",-0.0115305041824054
"C18_QI13014",-0.0116455381393913
"C18_QI13135",-0.00425144416101259
"C18_QI13137",-0.0147910842799088
"C18_QI13138",-0.0126941501206409
"C18_QI13141",-0.0178340316890033
"C18_QI13144",-0.0146323023301824
"C18_QI13468",1.45230382127352e-05
"C18_QI13541",5.15642406707686e-05
"C18_QI13534",-0.0111382547184645
