"Metabolite","Original_Metabolite_Name","Population_Beta","Population_SE","Population_P","Within.Person_Beta","Within.Person_SE","Within.Person_P"
"Amide_DHA","DHA",-0.0329308449804304,0.0129474444507199,0.0109983854760747,0.0217538883444892,0.00784537881186644,0.00557982661790717
"C8_LPC.22.6.0.0","LPC 22:6/0:0",-0.0567203793795206,0.0140151507427523,5.24061923349377e-05,0.00571944956372395,0.00860016234226206,0.506059010579009
"C8_PC.34.5","PC 34:5",-0.0472540947565473,0.0149485916149436,0.00157792140414739,2.5023797851059e-05,0.00969420759685937,0.99794052488159
"C8_PC.38.6","PC 38:6",-0.0532802572768846,0.0137394112268905,0.000106292384990111,0.0102604820365399,0.00845608511116205,0.225046113827741
"C8_PC.38.1","PC 38:1",-0.0629513059231476,0.0153402490519013,4.1089408219162e-05,-0.004735654408353,0.0102399474282021,0.643767547800884
"C8_PC.39.6","PC 39:6",-0.0434927380097212,0.0139700583532682,0.00185751122119658,0.00102051495456905,0.00854001419097556,0.904886081979426
"C8_PC.40.9","PC 40:9",-0.0590897095286022,0.0135746337953492,1.36199110471518e-05,0.00579607908688556,0.00827913922951148,0.48391176875562
"C8_PC.40.6","PC 40:6",-0.0490345923021372,0.0137477133546655,0.000363781822485593,0.00576631954206486,0.00847291224294849,0.496184991521168
"C8_PC.42.5","PC 42:5",-0.0325582821612294,0.0148141285283357,0.0279951465629676,0.00369113235026796,0.00935074997753794,0.693051874863506
"C8_PC.O.38.6","PC O-38:6",0.0170090444612201,0.0142313671347509,0.232056461275182,0.00803478506162498,0.00871190578790102,0.356434089080854
"C8_PC.P.40.6.or.PC.O.40.7_B","PC P-40:6 or PC O-40:7_B",0.00981261865043079,0.0138631806704539,0.479081031883172,0.00989821716364771,0.00847216730811839,0.242739222724962
"C8_PC.P.44.6.or.PC.O.44.7","PC P-44:6 or PC O-44:7",-0.0673100721079499,0.0135810007217013,7.35937749742869e-07,-0.00260885239564985,0.00817325674588533,0.749594381749194
"C8_PC.P.46.6.or.PC.O.46.7","PC P-46:6 or PC O-46:7",-0.0581582346394545,0.0131475313875858,9.86299678589798e-06,-0.0066538790445492,0.00783559378996774,0.39582308407515
"C8_PS.34.0","PS 34:0",-0.0470573893205142,0.0146200743561494,0.00129330506199681,0.00779625074895571,0.00931144937941225,0.402481677398372
"C8_SM.44.3.O2","SM 44:3;O2",-0.0403752580603394,0.0138429246786654,0.0035488763204918,-0.00307733243621737,0.00847747402411909,0.71662087617382
"C8_SM.44.2.O2","SM 44:2;O2",-0.0384965926768296,0.0140863238415016,0.00629320697050868,-0.00510464116541684,0.00864043932316184,0.554693788680182
"C8_CE.22.6","CE 22:6",-0.0501130860595106,0.0133341617588217,0.000172468740910565,-0.00133332117665758,0.00816945371756089,0.870361888635535
"C8_TG.52.8","TG 52:8",-0.0312127397874724,0.0149109949576975,0.0363590033281271,0.000381599739582925,0.00941413500063572,0.967668588509183
"C8_TG.52.7","TG 52:7",-0.0342811949539268,0.0151084451014941,0.0232965048351114,-0.00611184600867893,0.00949678468592345,0.519886796595429
"C8_TG.54.9","TG 54:9",-0.0422301086435564,0.0146905802429646,0.00405650212611898,-0.00454777458464402,0.00922736163534468,0.622137317447795
"C8_TG.54.8","TG 54:8",-0.0490741038300064,0.0146123366663869,0.000787911695077579,-0.0110186001693498,0.00918186325712528,0.230186866832835
"C8_TG.55.6","TG 55:6",-0.000898814828097284,0.0149942993465572,0.952202058629745,-0.00813877330866,0.00932516668938362,0.382831862375439
"C8_TG.56.10","TG 56:10",-0.0448569899252629,0.0143365784441597,0.00176178144993394,-0.00310074710530731,0.00898576183247005,0.730055391459382
"C8_TG.56.9","TG 56:9",-0.043631639729448,0.0138513877438536,0.00163944336046304,-0.00708517846850289,0.00856385881910018,0.408091177111441
"C8_TG.56.8","TG 56:8",-0.0315075522134528,0.0136231925206422,0.020761984588362,-0.00658541164452825,0.00847312949671033,0.437075004478437
"C8_TG.56.7","TG 56:7",-0.0294431602429808,0.0139153260079752,0.034389798725257,-0.0108626465293089,0.00847978729113412,0.200258071046271
"C8_TG.58.11","TG 58:11",-0.0367294375206815,0.013863284132319,0.00808065209728057,-0.000909193669897867,0.00867433384022504,0.91652790994905
"C8_TG.58.10","TG 58:10",-0.0283177930906976,0.0134556725349927,0.035366909236217,-0.00387732136912354,0.00835502257214857,0.642619634506101
"C8_TG.58.9","TG 58:9",-0.0426310055011564,0.0137107814928177,0.00188242793874687,-0.00261897407062232,0.00860025318543258,0.760743646773217
"C8_TG.58.7_A","TG 58:7_A",-0.0367829557149433,0.0148811808945579,0.0134671023149498,-0.00566325003484439,0.00922362335650456,0.539250436242564
"C8_TG.60.12","TG 60:12",-0.0309550463150164,0.0135184120460267,0.0220588084490622,0.000527971330041142,0.00847012003961619,0.950300086407779
"C8_QI7297",NA,-0.0157849329585967,0.0150665910808386,0.294821126994828,0.00561128265816201,0.00953753645260139,0.556335551613837
"C8_QI5120",NA,-0.018965274501736,0.0137253804243829,0.167086477504085,0.00188975219889422,0.0084071237575689,0.822160665924544
"C8_QI11020",NA,-0.0351318911969058,0.0135286971928185,0.00942772575642512,0.00162647423270054,0.00829595544441432,0.84457488769219
"C8_QI1850",NA,-0.00553164543521479,0.0155425376884228,0.721922825130973,0.00230291052387092,0.00987581943378336,0.815627255254692
"C8_QI9896",NA,-0.0328053778040304,0.0136491016467746,0.0162642911965644,0.0141234942821767,0.00854645526556261,0.0984901305808013
"C8_QI2435",NA,-0.00713660172668308,0.0144050943931937,0.620316681977146,0.0134843865072625,0.00926892554647189,0.14579458492927
"C8_QI3132",NA,-0.0165716903202661,0.0132594853790956,0.211414750952944,0.00428230542484197,0.00804330150335382,0.59447081399105
"C8_QI8941",NA,-0.0286666428327405,0.0151870901621181,0.0591226859470815,0.0129715602955439,0.00974318676209527,0.183141231348054
"C8_QI3326",NA,-0.0362380119893629,0.0149850797198896,0.0156181871001397,0.00572269641457488,0.00954478590505087,0.548827882087375
"C8_QI3325",NA,-0.046204194555415,0.0147902874661034,0.00179121493643732,0.00571497772240021,0.00939724517818791,0.543115537852116
"C8_QI3338",NA,-0.0487888146729685,0.0140814227993028,0.000533778483435118,0.00966678598299272,0.00868123019805623,0.265541044445894
"C8_QI3437",NA,-0.0672260087898327,0.0140881156764621,1.86136639056332e-06,0.00302102863418051,0.00870679316079733,0.728627009328929
"C8_QI8783",NA,-0.0638134251009028,0.0143362019341705,8.66890790217699e-06,-0.0102587931740738,0.00875178245095601,0.241179830372959
"C8_QI8717",NA,-0.0974792200998142,0.0149013031159652,6.48529301433491e-11,-0.00206618822744586,0.00952716608824135,0.82831736323595
"C8_QI8654",NA,-0.00646993300034705,0.0144738178637512,0.654881402576128,0.00355566093286805,0.00907272539638694,0.69514555306338
"C8_QI3670",NA,-0.0418300500281843,0.0137255696493819,0.00231515623608522,-0.00323450001939603,0.0083847569358784,0.699692639002192
"C8_QI3679",NA,-0.0399140837243158,0.0134683790045412,0.00305122905740193,-0.000244493410269515,0.00826143628215438,0.976391730385331
"C8_QI3698",NA,-0.0280471287331574,0.0147180208006048,0.0567375007091286,-0.00035985097809999,0.00910849625992125,0.968487776274709
"C8_QI8300",NA,-0.0282768474653048,0.0148605354088741,0.0571034920377333,0.00150198563878508,0.00935395829588868,0.872437499878939
"C8_QI8223",NA,0.0512312557340488,0.0135281254473821,0.000153783043611246,-0.00177186764203702,0.00807312216688087,0.826288160281346
"C8_QI8146",NA,-0.0469850467077975,0.0129383898754809,0.000283872859561596,-0.00443812894232084,0.00780035929119919,0.569408807446611
"C8_QI8066",NA,-0.00104934834030922,0.0143037255929167,0.941520143918305,-0.00578246843513257,0.00893059706830354,0.517348074152275
"C8_QI7914",NA,-0.0594774316870466,0.0141384441783838,2.62195648941298e-05,-0.00323428408184193,0.00867394766204,0.709260854566959
"C8_QI7760",NA,-0.00662761606433155,0.0149552912454599,0.657661676484444,-0.0182849838339927,0.00932446737980174,0.0499435409770018
"C8_QI4968",NA,-0.0400189498296023,0.0144574840945627,0.00565350799311376,0.00593499815765074,0.00908020438580233,0.513390380615248
"C8_QI4993",NA,-0.0445585138694857,0.0137739697481125,0.00122193821677185,-0.0078257983055882,0.00863446806618767,0.36480246966414
"C8_QI7229",NA,-0.0435445169555978,0.0142578573246162,0.00226566410444314,-0.00787821364584929,0.00893173417567797,0.37779836399338
"C8_QI7070",NA,-0.0147423762746574,0.0140507990442041,0.294113063645821,-0.000267840700194513,0.00852664965865442,0.974942225122445
"C18_Eicosapentaenoic.acid","Eicosapentaenoic acid",-0.0345117703282408,0.0136029926768195,0.0111993321786456,0.0205178597386675,0.00837165443111912,0.0142882335713281
"C18_Docosahexaenoic.acid","Docosahexaenoic acid",-0.0181019728823936,0.0132044262447651,0.170449080148504,0.0250932115371371,0.0080405735080889,0.00181490926675493
"C18_Docosapentaenoic.acid..22n.6.","Docosapentaenoic acid (22n-6)",-0.00110926605703863,0.0138792268732107,0.936300910040201,0.0187597620336439,0.0085623754493402,0.0285060107598871
"C18_X11.methyl.lauric.acid","11-methyl lauric acid",-0.0227826857161351,0.0140059485381357,0.103856338183364,0.022089135243591,0.0086771893091843,0.0109405933137443
"C18_QI46395",NA,-0.0248708545698215,0.0137170273502289,0.069851817337645,0.00446778721095968,0.00853192601589788,0.600544056691545
"C18_QI46396",NA,-0.0295226276062383,0.013650607232925,0.0305938614278447,0.0040776602265681,0.00856865366448949,0.634182329601787
"C18_QI46781",NA,-0.0109893606465919,0.0137692166835726,0.424831614438991,-0.00916788648927139,0.00878833696987651,0.296917163000349
"C18_QI46812",NA,-0.0102513413456887,0.0138398711565073,0.458892136322468,-0.00837312721110129,0.00885498226571439,0.344411815057846
"C18_QI47166",NA,-0.0331063982042522,0.0131274793322492,0.0116927671750917,-0.00209278051402436,0.00822241192014738,0.799104311705289
"C18_QI49700",NA,-0.0281092050897291,0.013798496114357,0.0416735261813447,0.00107356957286487,0.00870087184318887,0.901806604431523
"C18_QI49706",NA,-0.0278861837043096,0.0137919993302493,0.0432216498024489,0.00150234046376871,0.00869347354782022,0.862806616752951
"C18_QI49710",NA,-0.026468569626234,0.0138763833959004,0.0565004748814474,0.000105054688353902,0.00876338336751818,0.990435787664029
"C18_QI49714",NA,-0.029270807271112,0.0138372125346835,0.0344319918130064,0.00115184987289361,0.00871258119439275,0.894827785500711
"C18_QI49716",NA,-0.0277920864962915,0.0138571832287551,0.0449344426718496,0.0016721450968091,0.00873715610950234,0.848233960256108
"C18_QI49720",NA,-0.0255616214706013,0.0138804869633103,0.0655809478997423,0.00247222148894234,0.00876207924013819,0.777841381833785
"C18_QI49721",NA,-0.027159140007424,0.0139333290325442,0.0513067983312906,0.00118175240783872,0.0087941087078104,0.893108070129283
"C18_QI49733",NA,-0.0265042758253025,0.013983449058406,0.0580780337133402,0.00236965836111727,0.00881156050689076,0.787998862501604
"C18_QI10880",NA,-0.0442917224930201,0.0144095088514714,0.00212133658670795,0.0134633613789827,0.00909363317142572,0.138803449354434
"C18_QI11017",NA,-0.0542924782631736,0.0142131615723876,0.000134640927884527,0.0123308000729862,0.00877204908794304,0.159884183575245
"C18_QI11070",NA,-0.0552506047524547,0.0142560249035446,0.000107306254506,0.00962653937983725,0.00880420798817621,0.274275529681611
"C18_QI11584",NA,-0.0501055084634196,0.0143344383525703,0.000476015570856779,0.0108836659418658,0.00905044951523043,0.229211820833658
"C18_QI11587",NA,-0.0468547660569458,0.0143897763154257,0.00113456619813091,0.0121213821686038,0.00909868289718962,0.182857836194795
"C18_QI11740",NA,-0.0513259705313546,0.0142842800254643,0.000328845157300851,0.0136570480444245,0.00881898419578678,0.121548695891797
"C18_QI11743",NA,-0.0520251481684224,0.014221314828812,0.000255760982675204,0.0124677414923165,0.00874934282656576,0.154228606348141
"C18_QI11750",NA,-0.0536478965381863,0.0142336554371799,0.000165157096011479,0.0120845914665698,0.00876320812604227,0.167958322931395
"C18_QI11755",NA,-0.053337856705706,0.0142525113573359,0.000183732029199761,0.0120777746056103,0.00876624595980507,0.168345807730878
"C18_QI12574",NA,-0.0136054981734107,0.0136243233839516,0.318013162744627,0.0171722924107302,0.00840362817366173,0.0410667022302982
"C18_QI13002",NA,-0.0145473763834686,0.0128722451533975,0.258458649668069,0.0139531347279857,0.00773297947595802,0.0712401727126458
"C18_QI13014",NA,-0.00790815412298275,0.012990954022462,0.542714544828752,0.0161758505443564,0.00785251894471992,0.0394597343967344
"C18_QI13135",NA,-0.0728259081362287,0.0140472855182549,2.22977104452079e-07,0.00217195127839359,0.00850462158757446,0.798438599098128
"C18_QI13137",NA,-0.0559778016393204,0.0129900933509245,1.66174372160834e-05,0.00832301964779614,0.00769117278269137,0.279244380495361
